NCES District ID,LEA Name,Fips State Code,State Abbreviation,Average Number of Students in a Grade-Subject-Year,Average Number of Students in a Gender-Grade-Subject-Year,EB Male-Female Math Achievement Gap (SD Units),EB Male-Female ELA Achievement Gap (SD Units),EB Standard Error of Male-Female Math Achievement Gap (SD Units),EB Standard Error of Male-Female ELA Achievement Gap (SD Units),EB Male-Female Math Achievement Gap (Grade Equivalent Units),EB Male-Female ELA Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female Math Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female ELA Achievement Gap (Grade Equivalent Units),SES Composite - All Adults,SES Composite - Female Adults,SES Composite - Male Adults,Male-Female SES Composite Difference,Income at 50th percentile - All Adults,Income at 50th percentile - Female Adults,Income at 50th percentile - Male Adults,Male-Female Income V-Gap,Percent of Black Students in District,Percent of Hispanic Students in District,Percent of Other Race Students in District,Percent of White Students in District,Reliable District Gap Estimate; District has >200 Male/Female Students per Grade
100005,Albertville City,1,AL,325,162,0.022,-0.214,0.019,0.022,0.057,-0.663,0.055,0.068,-1.088,-1.354,-0.852,0.503,40625,16791,22031,0.336,0.021,0.360,0.007,0.613,0
100006,Marshall County,1,AL,430,215,-0.014,-0.277,0.018,0.022,-0.045,-0.863,0.054,0.067,-0.927,-1.503,-0.345,1.157,46291,18801,29471,0.536,0.010,0.153,0.005,0.832,1
100007,Hoover City,1,AL,1029,514,0.092,-0.199,0.017,0.020,0.262,-0.618,0.050,0.063,1.384,0.559,2.311,1.752,91103,30829,49896,0.541,0.238,0.058,0.068,0.636,1
100008,Madison City,1,AL,691,346,0.068,-0.245,0.019,0.022,0.196,-0.762,0.055,0.069,2.391,0.753,4.212,3.459,103228,30709,70076,0.751,0.203,0.034,0.093,0.670,1
100011,Leeds City,1,AL,126,63,0.034,-0.232,0.024,0.028,0.099,-0.715,0.069,0.087,-0.232,-1.000,0.520,1.520,53000,19138,33434,0.535,0.244,0.121,0.011,0.624,0
100012,Boaz City,1,AL,169,84,0.089,-0.182,0.022,0.026,0.259,-0.568,0.064,0.081,-0.981,-1.889,-0.128,1.761,46562,16587,28022,0.506,0.017,0.194,0.012,0.777,0
100013,Trussville City,1,AL,329,165,0.076,-0.188,0.020,0.023,0.206,-0.591,0.057,0.072,1.231,0.713,1.865,1.152,95999,39600,55007,0.532,0.101,0.008,0.026,0.866,0
100030,Alexander City,1,AL,243,121,0.015,-0.227,0.020,0.023,0.033,-0.703,0.058,0.073,-0.833,-1.298,-0.354,0.944,48382,21623,25671,0.193,0.383,0.028,0.009,0.580,0
100060,Andalusia City,1,AL,131,66,0.029,-0.234,0.024,0.028,0.085,-0.725,0.069,0.088,-1.173,-1.902,-0.518,1.384,29772,14959,22975,0.470,0.335,0.018,0.015,0.632,0
100090,Anniston City,1,AL,163,82,-0.059,-0.272,0.020,0.024,-0.177,-0.850,0.059,0.075,-1.656,-2.246,-0.993,1.253,31800,17651,24691,0.380,0.921,0.021,0.003,0.054,0
100100,Arab City,1,AL,191,96,0.072,-0.218,0.023,0.027,0.198,-0.678,0.067,0.084,0.138,-0.712,0.902,1.615,41666,24962,38834,0.473,0.002,0.016,0.009,0.973,0
100120,Athens City,1,AL,246,123,0.021,-0.247,0.021,0.024,0.055,-0.768,0.061,0.076,-0.380,-1.464,0.797,2.261,52857,21116,35970,0.602,0.260,0.125,0.021,0.594,0
100180,Attalla City,1,AL,121,61,-0.034,-0.295,0.023,0.027,-0.099,-0.920,0.065,0.083,-1.656,-2.809,-0.725,2.084,33124,11986,23180,0.344,0.173,0.067,0.002,0.757,0
100185,Saraland City,1,AL,182,91,0.106,-0.140,0.022,0.025,0.308,-0.427,0.063,0.079,-0.568,-1.000,-0.103,0.897,53461,23899,34623,0.467,0.167,0.018,0.022,0.793,0
100210,Auburn City,1,AL,560,280,0.042,-0.218,0.019,0.022,0.117,-0.681,0.055,0.069,-0.096,-0.818,0.632,1.450,72109,9990,15481,0.350,0.258,0.026,0.087,0.630,1
100240,Autauga County,1,AL,762,381,0.047,-0.220,0.017,0.020,0.129,-0.684,0.050,0.062,-0.034,-0.587,0.588,1.175,65988,23613,39825,0.573,0.238,0.022,0.017,0.722,1
100270,Baldwin County,1,AL,2214,1107,0.034,-0.228,0.015,0.018,0.100,-0.709,0.045,0.056,-0.211,-0.873,0.474,1.347,54735,20817,34372,0.532,0.138,0.052,0.015,0.796,1
100300,Barbour County,1,AL,74,37,-0.088,-0.305,0.025,0.029,-0.268,-0.955,0.073,0.091,-2.101,-2.049,-2.107,-0.058,37500,18386,22280,0.220,0.844,0.084,0.001,0.071,0
100330,Bessemer City,1,AL,333,166,-0.090,-0.289,0.019,0.022,-0.271,-0.905,0.055,0.069,-1.542,-1.677,-1.358,0.318,20817,20669,28708,0.282,0.928,0.044,0.001,0.027,0
100360,Bibb County,1,AL,270,135,-0.005,-0.260,0.019,0.022,-0.035,-0.810,0.055,0.069,-0.869,-1.527,-0.388,1.139,58333,18952,33298,0.571,0.220,0.015,0.003,0.762,0
100390,Birmingham City,1,AL,1905,952,-0.113,-0.333,0.016,0.018,-0.337,-1.041,0.045,0.057,-1.257,-1.479,-0.981,0.499,29858,20936,25463,0.206,0.954,0.033,0.002,0.011,1
100420,Blount County,1,AL,655,327,0.035,-0.220,0.016,0.019,0.092,-0.683,0.048,0.060,-0.622,-1.245,-0.073,1.172,51966,22165,34737,0.506,0.011,0.116,0.004,0.869,1
100450,Brewton City,1,AL,90,45,0.066,-0.187,0.025,0.029,0.191,-0.578,0.072,0.090,-0.741,-1.437,0.099,1.536,26500,21119,32372,0.565,0.386,0.010,0.007,0.596,0
100480,Bullock County,1,AL,112,56,-0.080,-0.300,0.022,0.026,-0.238,-0.934,0.065,0.082,-1.495,-1.992,-0.980,1.012,28211,20132,25154,0.324,0.904,0.087,0.000,0.009,0
100510,Butler County,1,AL,247,124,-0.016,-0.229,0.019,0.022,-0.054,-0.713,0.056,0.070,-1.483,-1.696,-1.181,0.515,31023,18701,28737,0.481,0.622,0.006,0.009,0.363,0
100540,Calhoun County,1,AL,733,367,0.070,-0.189,0.017,0.020,0.198,-0.590,0.051,0.064,-0.904,-1.621,-0.263,1.358,47000,18660,34325,0.619,0.137,0.027,0.008,0.829,1
