Country or Area,Year,Value,Value Footnotes,Unit
Albania,2015,5339,,million cubic metres
Albania,2014,4428,,million cubic metres
Albania,2013,4883.5,,million cubic metres
Algeria,2015,66.8000030517578,1,million cubic metres
Algeria,2014,66.8000030517578,1,million cubic metres
Algeria,2013,66.8000030517578,1,million cubic metres
Algeria,2012,307,,million cubic metres
Algeria,2011,307,,million cubic metres
Algeria,2010,307,,million cubic metres
Algeria,2009,307,,million cubic metres
Algeria,2008,307,,million cubic metres
Algeria,2007,307,,million cubic metres
Algeria,2006,307,,million cubic metres
Algeria,2005,276,,million cubic metres
Algeria,2004,276,,million cubic metres
Algeria,2003,276,,million cubic metres
Algeria,2002,245,,million cubic metres
Algeria,2001,245,,million cubic metres
Algeria,2000,50,,million cubic metres
Andorra,2015,25.4182987213135,2,million cubic metres
Andorra,2014,33.4506187438965,2,million cubic metres
Andorra,2013,31.7313613891602,2,million cubic metres
Andorra,2012,20.1000862121582,2,million cubic metres
Andorra,2011,16.4421672821045,,million cubic metres
Andorra,2010,26.3281154632568,,million cubic metres
Andorra,2009,27.0110149383545,,million cubic metres
Andorra,2008,29.9315719604492,,million cubic metres
Andorra,2007,12.7984552383423,,million cubic metres
Andorra,2006,15.8719787597656,,million cubic metres
Andorra,2005,18.9739017486572,,million cubic metres
Andorra,2004,18.5763320922852,,million cubic metres
Andorra,2003,28.3363037109375,,million cubic metres
Andorra,2002,33.1775093078613,,million cubic metres
Andorra,2001,24.4725971221924,,million cubic metres
Andorra,2000,30.2006359100342,,million cubic metres
Andorra,1999,29.8798599243164,,million cubic metres
Andorra,1998,18.3709812164307,,million cubic metres
Andorra,1997,25.4711570739746,,million cubic metres
Andorra,1996,44.85888671875,,million cubic metres
Andorra,1995,24.5185680389404,,million cubic metres
Andorra,1990,28.7371959686279,,million cubic metres
Armenia,2015,763,,million cubic metres
Armenia,2014,471,,million cubic metres
Armenia,2013,842,,million cubic metres
Armenia,2012,641,,million cubic metres
Armenia,2011,773,,million cubic metres
Armenia,2010,1783,,million cubic metres
Armenia,2009,1294,,million cubic metres
Armenia,2008,901,,million cubic metres
Armenia,2007,1513,,million cubic metres
Armenia,2006,1157,,million cubic metres
Armenia,2005,1063,,million cubic metres
Armenia,2004,1546,,million cubic metres
Armenia,2003,1086,,million cubic metres
Armenia,2002,1062,,million cubic metres
Armenia,2001,557,,million cubic metres
Armenia,2000,641,,million cubic metres
Armenia,1995,1189,,million cubic metres
Azerbaijan,2015,14217,,million cubic metres
Azerbaijan,2014,13967,,million cubic metres
Azerbaijan,2013,14340,,million cubic metres
Azerbaijan,2012,15565,,million cubic metres
Azerbaijan,2011,20263,,million cubic metres
Azerbaijan,2010,23132,,million cubic metres
Azerbaijan,2009,16806,,million cubic metres
Azerbaijan,2008,16687,,million cubic metres
Azerbaijan,2007,21385.5,,million cubic metres
Azerbaijan,2006,24687.5,,million cubic metres
Azerbaijan,2005,19566.19921875,,million cubic metres
Azerbaijan,2004,22556.400390625,,million cubic metres
Azerbaijan,2003,24072.099609375,,million cubic metres
Azerbaijan,2002,22201.900390625,,million cubic metres
Azerbaijan,2001,18506.80078125,,million cubic metres
Azerbaijan,2000,18773.19921875,,million cubic metres
Azerbaijan,1999,18948.599609375,,million cubic metres
Azerbaijan,1998,11752.5,3,million cubic metres
Azerbaijan,1997,11925.400390625,3,million cubic metres
Azerbaijan,1996,7863.7998046875,3,million cubic metres
Azerbaijan,1995,19792.099609375,,million cubic metres
Azerbaijan,1990,17895.900390625,,million cubic metres
Bahrain,1990,112,,million cubic metres
Bangladesh,2015,1145000,,million cubic metres
Bangladesh,2014,1187102,,million cubic metres
Bangladesh,2013,1303778,,million cubic metres
Bangladesh,2012,944239,,million cubic metres
Bangladesh,2011,786620.3125,,million cubic metres
Bangladesh,2010,1031774,,million cubic metres
Bangladesh,2009,907241,,million cubic metres
Bangladesh,2008,1128249,,million cubic metres
Bangladesh,2007,1000922,,million cubic metres
Bangladesh,2006,1073899.25,,million cubic metres
Bangladesh,2005,925951,,million cubic metres
Bangladesh,2004,1145326,,million cubic metres
Bangladesh,1990,1427332.375,,million cubic metres
Belarus,2009,23100,,million cubic metres
Belarus,2008,23400,,million cubic metres
Belarus,2007,22300,,million cubic metres
Belarus,2006,26800,,million cubic metres
Belarus,2005,24800,,million cubic metres
Belarus,2004,23100,4,million cubic metres
Belarus,2003,19600,4,million cubic metres
Belarus,2002,19500,4,million cubic metres
Belarus,2001,24500,4,million cubic metres
Belarus,2000,27600,4,million cubic metres
Belarus,1999,29100,4,million cubic metres
Belarus,1998,36800,,million cubic metres
Belarus,1997,19700,,million cubic metres
Belarus,1996,17300,,million cubic metres
Belarus,1995,22700,4,million cubic metres
Belarus,1990,30200,4,million cubic metres
